# head,phon,pos,synonyms(;),example_base,example_translation
adoration,ˌæ.dəˈɹeɪ.ʃən,noun,hyldning,"He adored Sorais quite as earnestly as Sir Henry adored Nyleptha, and his adoration had not altogether prospered.",
brave,bɹeɪv,adj,modig,"For miſerie doth braueſt mindes abate, / And make them ſeeke for that they wont to ſcorne, / Of fortune and of hope at once forlorne.",
bravery,ˈbɹeɪ.və.ɹi,noun,mod;tapperhed,"In that day the Lord will take away the bravery of their tinkling ornaments about their feet, and their cauls, and their round tires like the moon",
converse,kənˈvɜːs,verb,konversere;tale,"Companions[…]
That do converse and waste the time together.",
much,mʌt͡ʃ,det,meget,Do you think I have much chance of catching the train on time?,
pelican,ˈpɛl.ɪ.kən,noun,pelikan,"Pelicans fly below us with stiffly formal strokes, and gulls wheel and keen.",
wait,weɪt,verb,vente,Wait here until your car arrives.,
office,ˈɒf.ɪs,noun,bureau,Golde (gaue he him)[…]for all maner of veſſels of euery offyce[…],
kike,kaɪk,noun,jødesmovs;smovs,"In one tweet, Weisman was referred to as a ""kike."" Another threatened to have him put ""in the oven.""",
cast iron,,noun,støbejern,Cast iron is popular for cookware where an even heating temperature is important.,
wrought iron,,noun,smedejern,She has a wrought iron.,Hun har en smedejern.
quicksand,ˈkwɪkˌsænd,noun,kviksand,"My feet were firmly lodged in the quicksand, and the more I struggled the more I sank into it.",
quicksilver,ˈkwɪkˌsɪlvɚ,noun,kviksølv;kviksølver,I can see a quicksilver.,Jeg kan se en kviksølv.
super,ˈsypɑ,adj,super,A super car.,En super bil.
shut up,ʃʌt ˈʌp,verb,låse;låse af;lukke;låse ind;holde mund,The wicked prince was shut up in the castle dungeon.,
shut up,ʃʌt ˈʌp,intj,hold kæft;det mener du ikke,Shut up! We're sick of your whining!,
ubiquitous,juːˈbɪkwɪtəs,adj,allestedsnærværende,"In Christianity, Hinduism, and Judaism, God is ubiquitous.",
epoch,ˈiːpɒk,noun,epoke,UNIX epoch; J2000 epoch,
tenor,ˈtɛnə(ɹ),noun,tenor;tone;mening;hovedindhold;indhold,It is the conſciouſneſs of this merited approbation and eſteem which is alone capable of ſupporting the agent in this tenour of conduct.,
layman,ˈleɪmən,noun,lægmand;lægfolk,"Carmen is not a professional anthropologist, but strictly a layman.",
soprano,səˈpɹænoʊ,noun,sopran,boy soprano,
baritone,ˈbæɹ.ɪ.təʊn,noun,baryton,She has a baritone.,Hun har en baryton.
contrabass,ˈkɑn.tɹəˌbeɪs,noun,kontrabas,She has a contrabass.,Hun har en kontrabas.
like,laɪ̯k,adj,som,My partner and I have like minds.,
like,laɪ̯k,prep,som;lig,Folk like that I just can’t brook.,
fix,ˈfɪks,verb,reparere;fikse;berede,"He fixed me with a sickly grin, and said, ""I told you it wouldn't work!""",
untenable,,adj,uholdbar,The theory of cold fusion was untenable.,
great-grandmother,,noun,oldemor;oldemoder,"She’s now a great-grandmother with three sons, a grandson and two great-grandchildren.",
great-grandfather,,noun,oldefar;oldefader,I can see a great-grandfather.,Jeg kan se en oldefar.
parsimony,ˈpɑɹ.səˌmoʊ.ni,noun,sparsomhed,"If mere parsimony could have made a man rich, Sir Pitt Crawley might have become very wealthy […]",
slob,slɒb,noun,dovenlars;dovendidrik,What if God was one of us / Just a slob like one of us,
undress,ʌnˈdɹɛs,verb,klæde sig af,She undressed herself before putting on her bedclothes.,
take off,,verb,fjerne;aftage;afgå,He took off his shoes.,
moneyboy,,noun,trækkerdreng,We need a moneyboy.,Vi behøver en trækkerdreng.
genitalia,ˌd͡ʒɛ.nɪˈteɪ.li.jə,noun,kønsorgan,I can see a genitalia.,Jeg kan se en kønsorgan.
relative,ˈɹɛl.ə.tɪv,adj,relativ,The words “big” and “small” are relative.,
relative,ˈɹɛl.ə.tɪv,noun,pårørende;beslægtet;frænde;frænke,"The eldest son was usually given the name of his paternal grandfather, later children those of other relatives.",
damn,dæm,verb,fordømme;forbande,The official position is that anyone who does this will be damned for all eternity.,
damn,dæm,adv,pokkers;hulens;forbandet,That car was going damn fast!,
damn,dæm,intj,pokkers;sørens;hulens,,
clef,klɛf,noun,nøgle,We need a clef.,Vi behøver en nøgle.
tautology,tɔˈtɒl.ə.d͡ʒi,noun,tautologi,"It is tautology to say, ""Forward Planning"".",
pogrom,ˈpɒɡɹəm,noun,pogrom,She has a pogrom.,Hun har en pogrom.
sexy,ˈsɛk.sɪ,adj,sexet,The participants in the swimsuit competition are all very sexy.,
coup d'état,ˌku deɪˈtɑ,noun,statskup,I can see a coup d'état.,Jeg kan se en statskup.
aggressor,,noun,aggressor;angriber,She has a aggressor.,Hun har en aggressor.
saint,seɪnt,noun,helgen,The Roman Catholic Church proclaimed Kateri Tekakwitha a saint in 2012.,
saint,seɪnt,verb,kanonisere,Many Catholics wished to see Pope John Paul II sainted immediately after his death.,
agoraphobia,ˌæɡ.ə.ɹəˈfəʊ.bi.ə,noun,agorafobi,"For quotations using this term, see Citations:agoraphobia.",
dale,deu,noun,dal,"And we will all the pleasures prove / That hills and valleys, dales and fields, / Woods, or steepy mountain yields",
calve,kɑːv,verb,kælve,The farmer could tell Bessie was about to calve.,
clothing,ˈkləʊðɪŋ,noun,tøj,Marco runs a clothing brand.,
jacket,ˈd͡ʒæk.ɪt,noun,jakke,"Yo's jacket shows possession with intent, possession of unlicensed firearm, and assault, for which he still owes three years.",
kit,kɪt,noun,udrustning;udstyr,"He was pushing a barrow on the fish dock, wheeling aluminium kits which, when full, each contain 10 stone of fish.",
try,tɹaɪ,verb,forsøge;prøve;afprøve;teste,"I tried to rollerblade, but I couldn’t.",
gnat,næt,noun,myg;stikmyg,"""Away thou whining gnat, and trouble me not!""",
muezzin,muˈɛ.zɪn,noun,muezzin,"approaching the mosque, at the call of the muezzin (III, xvi)",
boner,ˈbəʊ.nə(ɹ),noun,udbener,"Boys often refer to their enlarged penis as an ""erection,"" a ""boner,"" or a ""hard on.""",
get up,,verb,stå op;angribe,The tired horse eventually got up and over the hurdle.,
reboot,ˈɹiːbuːt,noun,genstarte,That’s why we don’t just need a bailout. We need a reboot. We need a build out. We need a buildup. We need a national makeover.,
morning wood,,noun,morgenstivert,I can see a morning wood.,Jeg kan se en morgenstivert.
stain,steɪn,noun,plet,The wood will darken whether it is stained or not—the main function of a stain is to enhance the wood's natural color and emphasize its grain.,
vulgar,ˈvʌl.ɡə,adj,vulgær;obskøn;uanstændig;grov;simpel,vulgar language,
soldier,ˈsəʊld͡ʒə,noun,soldat,My friends and I saw a soldier questioning a man holding a bag with a gun in his pocket.,
bathe,beɪð,verb,bade,We bathe our baby before going to bed; other parents do it in the morning if they have time.,
bathe,beɪð,noun,bad,I'm going to have a midnight bathe tonight.,
blindness,ˈblaɪndnəs,noun,blindhed,I can see a blindness.,Jeg kan se en blindhed.
wedding,ˈwɛdɪŋ,noun,bryllup;vielse,"Simple and brief was the wedding, as that of Ruth and of Boaz.",
well done,,adj,velgjort,It was a job well done.,
raise,ɹeɪz,noun,lønforhøjelse,The boss gave me a raise.,
gong,ɡɒŋ,noun,gongong,I can see a gong.,Jeg kan se en gongong.
digital camera,,noun,digitalkamera,The good thing about digital cameras and digital backs is that they allow you to change ISO in the middle of shooting. You can't do that with film.,
consolation,ˌkɑn.səˈleɪ.ʃən,noun,trøst,"[I]f Charles is undone, He'll find half his Acquaintance ruin'd too, and that, you know, is a consolation—",
surface,ˈsɜːfɪs,noun,overflade,"Use the lowest light level required. Be mindful of surface conditions, as some surfaces may reflect more light into the night sky than was intended.",
data,ˈdɑː.tə,noun,data,Data can be sent through email.,
placenta,pləˈsɛntə,noun,moderkage,I can see a placenta.,Jeg kan se en moderkage.
antique,ˌanˈtiːk,adj,antikvarisk,I met a traveller from an antique land,
madam,ˈmæd.əm,noun,frue,"Mrs Grey wondered if the outfit she was trying on made her look fat. The sales assistant just said, “It suits you, madam”.",
senate,ˈsɛnɪt,noun,senat,"Before the Tyrant's throne
All night his aged Senate sate.",
erection,ɪˈɹɛkʃən,noun,erektion;rejsning,The Empire State Building was once the world's tallest erection.,
enjoy,ɪnˈd͡ʒɔɪ,verb,nyde,Enjoy your holidays! I very much enjoy dancing.,
birch,bɜːtʃ,noun,birk,We need a birch.,Vi behøver en birk.
common noun,,noun,appellativ;fællesnavn,She has a common noun.,Hun har en appellativ.
conspire,kənˈspaɪə(ɹ),verb,sammensværge sig,They conspired against [Joseph] to slay him.,
albino,ælˈbiːnəʊ,noun,albino,I can see a albino.,Jeg kan se en albino.
chaste,t͡ʃeɪst,adj,kysk;sædelig;dydig,"Theirs was a chaste marriage, loving and content.",
album,ˈælbəm,noun,album,"In his free time, he used to open his album and add new pictures to it.",
enzyme,ˈɛn.zaɪm,noun,enzym,She has a enzyme.,Hun har en enzym.
nunchaku,nʌnˈtʃækuː,noun,nunchaku;karatestænger,We need a nunchaku.,Vi behøver en nunchaku.
skull,ˈskʌl,noun,kranium;kranie;dødningehoved,"My thoughts are flying around in my skull like fireflies in a jar, but all of a sudden I'm unbearably tired and can't stay awake.",
cantor,ˈkæntɔː(ɹ),noun,kantor,The cantor's place in church is on the right of the choir.,
singer,ˈsɪŋə,noun,sanger;sangerinde,"It's the singer, not the song.",
student,ˈstjuː.dn̩t,noun,studerende,She is a student of human interactions.,
encyclopedic,,adj,encyklopædisk,It is very encyclopedic.,Det er meget encyklopædisk.
homage,ˈhɒmɪd͡ʒ,noun,hyldest;tribut;lenshyldning,"I ſought no homage from the Race that vvrite; / I kept, like Aſian Monarchs, from their ſight: […]",
addressee,,noun,adressat,She has a addressee.,Hun har en adressat.
cage,keɪd͡ʒ,noun,bur,We keep a bird in a cage.,
enter,ˈɛntə(ɹ),verb,indtaste;taste;gå ind;gå ind i;indgå i,"You should knock before you enter, unless you want to see me naked.",
entropy,ˈɛntɹəpi,noun,entropi,I can see a entropy.,Jeg kan se en entropi.
crop,kɹɒp,noun,afgrøde;kro,"The farmer had to decide which crop to grow as his main bet for the coming year. Would it be barley, oats, or something else?",
freedom,ˈfɹiːdəm,noun,frihed,"Having recently been released from prison, he didn't know what to do with his newfound freedom.",
eighty-eight,,num,otteogfirs,,
paleologism,,noun,paleologisme,"Levinas seems to be offering new words or newly burnished words for old, those apparent semantic neologisms are more like pre-semantic paleologisms.",
cynophobia,ˌsaɪnəˈfoʊbi.ə,noun,kynofobi,She has a cynophobia.,Hun har en kynofobi.
creature,ˈkɹiː.tʃə,noun,væsen,insects and other creatures,
monster,ˈmɒnstə(ɹ),noun,uhyre,"O, 'twas a din to fright a monster's ear,/ to make an earthquake.",
reed,ɹiːd,noun,siv;rør,Coordinate term: sley,
nay,neɪ,adv,eller snarere,"Duke Magnus, Duke Magnus, plight thee to me,
I pray you still so freely;
Say me not nay, but yes, yes!",
keg,kɛɡ,noun,fad;fustage;tønde,"He bore on his shoulder a stout keg, that seemed full of liquor, and made signs for Rip to approach and assist him with his load.",
bupkis,ˈbʌp.kɪs,noun,bar røv at trutte i,We searched for hours and found bupkis.,
trinity,ˈtɹɪnɪti,noun,treenighed,We need a trinity.,Vi behøver en treenighed.
bulwark,ˈbʊl.wək,noun,bolværk,"Let thouſands die, their ſlaughtered Carkaſſes
Shal ſerue for walles and bulwarkes to the reſt:",
bowl,boʊl,noun,skål,You can’t have any more soup – you’ve had three bowls already.,
teacher,ˈtiːt͡ʃə,noun,lærer;lærerinde,"But if the last two years are a teacher, look for the bombastic tweets to resume before sunrise.",
unique,juːˈniːk,adj,unik;enestående,"Every person has a unique life, therefore every person has a unique journey.",
solder,ˈsɒl.də(ɹ),noun,loddemetal,I've had so little feeling that I've burned myself with liquid solder and watched my skin burn and not felt anything.,
each,iːt͡ʃ,det,hver;alle,Make sure you wash each bowl well.,
each,iːt͡ʃ,adv,hver,The apples cost 50 cents each.,
of course,əv ˈkɔːs,adv,selvfølgelig;naturligvis,"Not tarrying long enough in the brain to be subject to reflection, the next sensations, of course, obliterate them.",
soon,suːn,adv,snart,"His wife is likely to come too after him, but we just do not know how soon after.",
bravo,ˈbɹɑvoʊ,intj,bravo,"Bravo, you have done a brilliant job!",
sooner or later,,adv,før eller senere;før eller siden,He’ll turn up sooner or later.,
calm,kɑːm,adj,rolig;stille,"Calm is the morn without a sound,
⁠Calm as to suit a calmer grief,
⁠And only thro’ the faded leaf
The chestnut pattering to the ground: […]",
calm,kɑːm,noun,ro;stilhed;vindstille,"The wind ceased, and there was a great calm.",
calm,kɑːm,verb,berolige;blive stille;blive rolig,to calm a crying baby,
ego,ˈiɡo,noun,ego,In the well adjusted person the ego is the executive of the personality and is governed by the reality principle.,
campfire,ˈkæmpˌfaɪ̯ɚ,noun,lejrbål;bål,I can see a campfire.,Jeg kan se en lejrbål.
cease,siːs,verb,ophøre,"And with that, his twitching ceased.",
public library,,noun,folkebibliotek,We need a public library.,Vi behøver en folkebibliotek.
mummy,ˈmʌmi,noun,mor,Meeting mummy after this visit was not exactly easy.,
elixir,ɪˈlɪksə(ɹ),noun,eliksir,"For Chinese alchemists, gold held the key to the Elixir, the Eastern equivalent of the Philosopher's Stone.",
amulet,ˈæm.jə.lɪt,noun,amulet,The soldier wore an amulet for protection.,
vampire,ˈvæm.paɪ.ə(ɹ),noun,vampyr,Bram Stoker's novel Dracula built on centuries-old stories of vampires and also encouraged new growth of the mythology.,
origami,ˌɒɹɪˈɡɑːmɪ,noun,origami,The production notes are folded like the funny origamis that I made in grammar school (only I used to write boy's names inside each section).,
beanie,ˈbiː.ni,noun,hue,Enrique Iglesias is often seen wearing a beanie.,
solitude,ˈsɒlɪˌtjuːd,noun,ensomhed,"Cranks like Rousseau made solitude glamorous, but sensible people agreed that it was really terrible.",
web,wɛb,noun,net;væv;svømmehud;bånd,The sunlight glistened in the dew on the web.,
fund,ˈfʌnd,noun,fond,"the fund of a bank, commercial house, manufacturing corporation, etc.",
fund,ˈfʌnd,verb,finansiere,He used his inheritance to fund his gambling addiction.,
donation,dəʊˈneɪʃən,noun,donation;gave;bidrag,They were collecting donations for the elderly at Christmas.,
manufacture,ˌmænjuˈfækt͡ʃɚ,verb,fremstille,"Scientists are learning how to manufacture sperm and egg cells from other types of cell; others are developing ""alternative"" wombs",
dispose,dɪsˈpoʊz,verb,bortskaffe,I dispose of my trash in the garbage can.,
pebble,ˈpɛb.əl,noun,ral,"Then let the pebbles on the hungry beach
Fillip the stars;",
ergo,ˈɛɚɡoʊ,adv,ergo;derfor,"""I merely made an individual application of a general rule. All women love flattery—ergo, Miss Arundel liked it.""",
ergo,ˈɛɚɡoʊ,conj,ergo;derfor,,
table tennis,,noun,bordtennis;pingpong,She has a table tennis.,Hun har en bordtennis.
microorganism,ˌmaɪ.kɹəʊˈɔː.ɡəˌnɪz.m̩,noun,mikroorganisme,The cud is then reswallowed and further digested by specialized microorganisms that live in the rumen.,
fecundity,fɪˈkʌndɪtɪ,noun,frugtbarhed,I can see a fecundity.,Jeg kan se en frugtbarhed.
octet,ɒkˈtɛt,noun,oktet,"An octet of waiters sang her ""Happy Birthday"".",
dine,daɪn,verb,spise,I will dine tomorrow.,Jeg vil spise i morgen.
embrace,ɛmˈbɹes,verb,omfavne;kramme,"I will imbrace him with a ſouldiour's arme, / That he ſhall ſhrinke vnder my curteſie, […]",
refuse,ˈɹɛfjuːs,noun,affald,We need a refuse.,Vi behøver en affald.
forty-five,ˌfɔɹtiˈfaɪv,num,femogfyrre,,
expire,ɪkˈspaɪə(ɹ),verb,udløbe,The patient expired in hospital.,
negress,ˈniːɡɹɪs,noun,negerinde,"1995, A. J. Verdelle, The Good Negress (book title)",
celibate,ˈsɛləbət,adj,ugift,Members of religious communities sometimes take vows to remain celibate.,
shoehorn,ˈʃuːˌhɔːn,noun,skohorn,We need a shoehorn.,Vi behøver en skohorn.
wade,weɪd,verb,vade,"So eagerly the fiend […] / With head, hands, wings, or feet, pursues his way, / And swims, or sinks, or wades, or creeps, or flies.",
royal,ˈɹɔɪ.əl,adj,royal;kongelig,On the first Friday morning of his kingship he went into the kitchen and called for his royal chef.,
grand duke,,noun,storhertug;storfyrste,We need a grand duke.,Vi behøver en storhertug.
bishopric,ˈbɪʃəpɹɪk,noun,bispedømme;stift;bispesæde,"Later that year, he was appointed to the bishopric of Lindesmeere.",
each other,iːˈt͡ʃʌð.ə,pron,hinanden,"My parents love each other; however, they talk to themselves a lot but not so much to each other.",
badge,bæd͡ʒ,noun,mærke;emblem,the badge of a society; the badge of a policeman,
quartet,kwɔː(ɹ)ˈtɛt,noun,kvartet,The string quartet played some chamber music.,
papal,ˈpeɪpəl,adj,pavelig,A papal car.,En pavelig bil.
frank,fɹæŋk,adj,oprigtig;ligefrem,May I be frank with you?,
rule,ɹuːl,noun,regel;styre,All participants must adhere to the rules.,
rule,ɹuːl,verb,styre;regere,This game rules!,
eaglet,,noun,ørneunge,[A]fter the ten days Arkirie came to the king and asked him to give him two eaglets.,
into,ˈɪn.tuː,prep,ind i,Mary danced into the house.,
good day,,intj,goddag,"Good day, gentlemen.",
dude,duːd,noun,fyr;starut;fætter,"So we were at the mall and these two dudes just walk up to us and say ""hi"".",
goof,ɡuːf,noun,tumpe,I made a goof in that last calculation.,
sojourn,ˈsɒd͡ʒən,noun,ophold;kort visit;opholdssted,The use of vasoconstrictors to increase the sojourn of local anesthetics at the site of infiltration continues[…],
sojourn,ˈsɒd͡ʒən,verb,opholde sig,Abram went down into Egypt to sojourn there.,
broomstick,ˈbɹum.stɪk,noun,kosteskaft,Witches of all ages attended these lively gatherings by flying away on their broomsticks[.],
gizzard,ˈɡɪzəd,noun,kråse,"As fortune has it, kingbirds, like owls, lack a grinding gizzard and regurgitate hard fragments from their meals.",
obliterate,əˈblɪtəɹeɪt,verb,tilintetgøre;udslette,[H]e [Pope Gregory I] deſigned to obliterate and extinguiſh the memorie of Heathen antiquitie and Authors.,
annihilate,əˈnaɪ.ə.leɪt,verb,annihilere;tilintetgøre,An atom bomb can annihilate a whole city.,
thrall,θɹɔːl,noun,træl;trældom,My father was always a thrall to alcohol.,
renegade,ˈɹɛ.nəˌɡeɪd,noun,lovløs;rebel,She has a renegade.,Hun har en lovløs.
perineum,ˌpɛ.ɹɪˈniː.əm,noun,mellemkød,The prostate is surrounded by venous plexi and the perineum has a rich blood supply.,
ballistics,bəˈlɪst.ɪks,noun,ballistik,We need a ballistics.,Vi behøver en ballistik.
motion,ˈməʊ.ʃən,noun,bevægelse,This is the great wheel to which the clock owes its motion.,
quiver,ˈkwɪvə,noun,kogger;pilekogger,"Don Pedro: Nay, if Cupid have not spent all his quiver in Venice, thou wilt quake for this shortly.",
quiver,ˈkwɪvə,verb,dirre;sitre;bævre,And left the limbs still quivering on the ground.,
yokel,ˈjəʊ.kəl,noun,bonderøv;bondeknold,"They love the scenery near their summer home, but have no desire to mix with the local yokels.",
gigantic,d͡ʒaɪˈɡæntɪk,adj,gigantisk,It is in solitude that the imagination exercises its gigantic power; and where are a woman's feelings nurtured but in solitude?,
perform,pəˈfɔːm,verb,udføre,The scientists performed several experiments.,
govern,ˈɡʌv.ən,verb,regere over;beherske;styre;regere;herske,The old king governed the land wisely.,
exactly,ɪɡˈzæk(t).li,adv,præcis,Measure exactly so we can be sure it is right.,
exactly,ɪɡˈzæk(t).li,intj,præcis,"So you're saying that we have only three days left? — Yes, exactly!",
pronounce,pɹəˈnaʊns,verb,erklære,I hereby pronounce you man and wife.,
bowdlerize,ˈbaʊd.ləˌɹaɪz,verb,censurere,"The bowdlerized version of the novel, while free of vulgarity, was also free of flavor.",
fax,fæks,noun,fax;telefax,"OK, now take it down the hall to the fax.",
fax,fæks,verb,faxe,He already has the copy of the other fingerprints that Leo faxxed to him for comparison.,
commons,ˈkɑmənz,noun,fælled;almenvelle;fælles bedste,"The Renaissance festival started with the ""peasants"" meeting in the commons.",
deliver,dɪˈlɪvə(ɹ),verb,befri;udfri;forløse;tage imod;barsle,The hostage was delivered from her captors and thus preserved from any danger.,
limousine,ˌlɪm.əˈziːn,noun,limousine,I can see a limousine.,Jeg kan se en limousine.
default,dɪˈfɒlt,noun,standard,"He failed to make payments on time, and he is now in default.",
aah,,intj,ah;aha,Aah! That's amazing!,
brand,bɹænd,noun,brændemærke;mærke;varemærke,"The indelible word ""homosexual,"" like a brand that grew deeper and redder every day, became increasingly hard to conceal and to ignore.",
brand,bɹænd,verb,brændemærke;indprente;stemple,"When they caught him, he was branded and then locked up.",
staircase,ˈstɛɹˌkeɪs,noun,trappe,I was on the staircase by the bell / Blinded by the black magician's spell,
either,ˈaɪ.ðə,det,begge,You can have it in either colour.,
either,ˈaɪ.ðə,adv,heller,"I don't like him, and I don't like her either.",
snitch,snɪt͡ʃ,verb,stikke;sladre,She can snitch.,Hun kan stikke.
snitch,snɪt͡ʃ,noun,tyv;tyveknægt;stikker;forræder,"‘Yes, I’m a witch! I wiggle my snitch![...]’",
tongue-twister,,noun,tungebrækker,"The present name being a translation, ""in brief,"" of the original tongue-twister, meaning ""the river of the rock""",
whelp,wɛlp,noun,hvalp,"[…]And fared like a furious wyld Beare, / Whose whelpes are ſtolne away, ſhe being otherwhere.",
whelp,wɛlp,verb,"hvalpe, få hvalpe",The bitch whelped.,
swine,swaɪn,noun,svin,That old car is a swine to manoeuvre.,
dissimilar,dɪˈsɪmɪlə(ɹ),adj,ulig,It is very dissimilar.,Det er meget ulig.
prognosis,pɹɒɡˈnəʊsɪs,noun,prognose,"I may say here that it is one of the evidences of original character, that it is apt to baffle all prognosis from a mere observer's standpoint.",
gate,ɡeɪt,noun,port;låge;sluse,"At 7, he made his exit through the Ch‘ien-ch‘ing and the Lung-tsung gates, and thence, through the Yung-Hang Gate he entered the Tz‘u-ning Palace.",
position,pəˈzɪʃ.(ə)n,noun,position;plads,Chief of Staff is the second-highest position in the army.,
falafel,fəˈlɑːfəl,noun,falafel;falafler;falaffel,There's a stall at the market that sells fantastic falafel.,
vocation,voʊˈkeɪʃən,noun,kald,"The Catholic Church supports and teaches us that there are three vocations: the single life, married life, and the religious life or priesthood.",
cable length,,noun,kabellængde,She has a cable length.,Hun har en kabellængde.
incursion,ɪŋˈkɜː(ɹ)ʒən,noun,indtrængen,I can see a incursion.,Jeg kan se en indtrængen.
fine,faɪn,adj,fin,The tree frog that they encountered was truly a fine specimen.,
fine,faɪn,noun,bøde,The fine for jay-walking has gone from two dollars to thirty in the last fifteen years.,
spiral,ˈspaɪɹəl,noun,spiral,My beloved friends and family who sustained and grounded me as I fell into the rabbit hole of this project or down the spiral of new parenthood.,
hate,heʔ,verb,hade,People who hate broccoli may have super-sensitive taste buds.,
bacon,ˈbeɪ.kən,noun,flæsk,"They fried the fish with bacon and were astonished, for no fish had ever seemed so delicious before.",
elective,ɪˈlɛktɪv,adj,elektiv,"Man thus endued with an elective voice,
Must be supplied with objects of his choice.",
elective,ɪˈlɛktɪv,noun,mulighed;option,I still need to decide which electives to take along with my compulsory courses next semester.,
elect,ɪˈlɛkt,verb,vælge,"President Obama in a speech this past week said that we should solve the nation's bee problem. Oh, God, we elected a guy who sympathizes with bees?",
elect,ɪˈlɛkt,adj,valgt;udvalgt,He is the President elect.,
pick,pɪk,verb,plukke,Don't pick at that scab.,
option,ˈɒpʃən,noun,valgmulighed;mulighed;option;aktieoption,There's a book out on us and there's gonna be a movie based on the book. ABC has bought the option for a movie to be made specially for T.V.,
fragment,ˈfɹæɡmənt,noun,fragment,a fragment of an ancient writing,
pardon,ˈpɑːdn̩,noun,tilgivelse;benådning,"[…] a step, that could not be taken with the least hope of ever obtaining pardon from or reconciliation with any of my friends; […]",
pardon,ˈpɑːdn̩,intj,hvadbehager;hvad;undskyld mig,,
outcast,ˈaʊtkɑːst,noun,udstødt;paria,The other factions believe that those who are Factionless are nomads and outcasts. But they are actually a fully functioning community.,
memorize,ˈmɛm.əˌɹaɪ̯z,verb,udenadslære,Many years ago there was a rumor that a basketball star (Jerry Lucas of the New York Knicks) had memorized the entire Manhattan phone book.,
penetrate,ˈpɛnɪtɹeɪt,verb,trænge ind,Light penetrates darkness.,
morsel,ˈmɔːsəl,noun,bid;godbid;stump,Didn't even a morsel of decency remain in his brother?,
parody,ˈpæɹədi,noun,parodi,The lively parody which he wrote […] was received with great applause.,
parody,ˈpæɹədi,verb,parodiere,The comedy movie parodied the entire Western genre.,
portion,ˈpɔɹʃən,noun,del,The Lord of that ſeruant […] will appoint him his portion with the vnbeleeuers.,
cult,kʌlt,noun,kult;sekt,imperial cult,
cult,kʌlt,adj,kult-,a cult horror movie,
disingenuous,ˌdɪs.ɪnˈd͡ʒɛn.ju.əs,adj,uærlig;uoprigtig;falsk;uvederhæftig,"I am not so vain as to think these Remarks free from faults, nor so disingenuous as not to confess them:",
wyvern,ˈwaɪvən,noun,lindorm,"The jargon of heraldry, its griffins, its moldwarps, its wyverns, and its dragons.",
levin,ˈlɛvɪn,noun,lynglimt,And forth rith al so leuin fares.,
blackshirt,,noun,sortskjorte,I can see a blackshirt.,Jeg kan se en sortskjorte.
conformity,kənˈfɔɹmɪti,noun,konformitet,We need a conformity.,Vi behøver en konformitet.
confirm,kənˈfɜːm,verb,bestyrke;bekræfte;konfirmere;forvisse;forsikre,"Elizabeth, daughter of Henry VIII, was baptized and confirmed at the age of three days.",
confirmation,ˌkɑn.fəɹˈmeɪ.ʃən,noun,bekræftelse;konfirmation,We will send you a written confirmation of your hotel booking.,
necessitate,nɪˈsɛsɪteɪt,verb,kræve;nødvendiggøre,The early departure of her plane necessitated her waking up at 4 a.m.,
evolution,ˌiːvəˈluːʃ(ə)n,noun,evolution,"""Look now, that pirouette -- my stars! how Beauchamp would stare to see his darling perform such an evolution!""",
transform,tɹænsˈfɔːm,verb,transformere;omdanne,The alchemists sought to transform lead into gold.,
purpose,ˈpɝpəs,noun,mål;mening;intention;grund,What is the purpose of your visit?,
situation,ˌsɪt.juːˈeɪ.ʃən,noun,situation,The United States is in an awkward situation with debt default looming.,
auction,ˈɔːkʃən,noun,auktion,I can see a auction.,Jeg kan se en auktion.
perceive,pəˈsiːv,verb,begribe,"Go from the presence of a foolish man, when thou perceivest not in him the lips of knowledge.",
mercenary,ˈmɜː.sə.nə.ɹi,noun,lejesoldat,We need a mercenary.,Vi behøver en lejesoldat.
magnate,ˈmæɡneɪt,noun,magnat,"I have decided to become an oil magnate, after spending quite some time reading the dictionary definition of the word magnate.",
gentile,ˈd͡ʒɛntaɪl,adj,hedensk,"Down in the workshop all the elves were makin' toys
For the good gentile girls and the good gentile boys",
foreign,ˈfɒɹɪn,adj,fremmed;udlænding;udenlandsk;fremmedartet,foreign markets; foreign soil,
quarry,ˈkwɒɹ.i,noun,stenbrud,Michelangelo personally quarried marble from the world-famous quarry at Carrara.,
iff,ɪf ən(d)ˈəʊn.li ɪf,conj,hviss,A rectangle is a square iff all four of its sides have the same length.,
heading,ˈhɛdɪŋ,noun,overskift;kurs;retning,"put the information under the ""Advantages"" heading",
belong,bɪˈlɒŋ,verb,høre hjemme;tilhøre;høre til;henhøre,Where does this book belong? It belongs on the top shelf.,
dreadlocks,ˈdɹɛdlɒks,noun,dreadlocks,I can see a dreadlocks.,Jeg kan se en dreadlocks.
lido,ˈlaɪ.dəʊ,noun,friluftsbad,I can see a lido.,Jeg kan se en friluftsbad.
vast,vɑːst,adj,enorm,The Sahara desert is vast.,
fetus,ˈfiːtəs,noun,foster,"The sequence is: molecules in reproductive systems, then gametes, zygotes, morulas, blastocysts, and then fetuses.",
inn,ɪn,noun,kro;herberg,the Inns of Court    the Inns of Chancery    Serjeants’ Inns,
question,ˈkwɛs.tʃən,noun,spørgsmål,What is your question?,
greenhouse,ˈɡɹiːnhaʊs,noun,drivhus,"In the slang of the Royal Air Force man, the cockpit of his plane is the ‘pulpit’ or ‘office’, the glass covering over it the ‘greenhouse’.",
