# head,phon,pos,synonyms(;),example_base,example_translation
allegiance,əˈliː.d͡ʒəns,noun,troskap,She has a allegiance.,Hun har en troskap.
jack-in-the-box,,noun,trold i æske,"""Did you venture to call me a liar?"" (""No, sir, no!"" shouted the accused, and disappeared like a Jack-in-the-box.)",
one-off,,noun,engangsforeteelse;engangsfænomen,Near-synonym: stand-alone,
school counselor,,noun,studievejleder,We need a school counselor.,Vi behøver en studievejleder.
school psychologist,,noun,skolepsykolog,I can see a school psychologist.,Jeg kan se en skolepsykolog.
gadget,ɡædʒɪt,noun,gadget,He bought a neat new gadget for shredding potatoes.,
blot,blɒt,noun,plet;klat,"Thy ouerflow of good, conuerts to bad, / And thy abundant goodneſſe ſhall excuſe / This deadly blot, in thy digreſſing ſonne.",
blotting paper,,noun,trækpapir;klatpapir,I can see a blotting paper.,Jeg kan se en trækpapir.
teens,tiːnz,noun,teenageår,The number of people at the meeting was in the teens.,
bungee jump,,noun,bungee jump,I can see a bungee jump.,Jeg kan se en bungee jump.
bungee jump,,verb,hoppe bungee jump,I will bungee jump tomorrow.,Jeg vil hoppe bungee jump i morgen.
fossil fuel,,noun,fossilt brændstof;fossilt brændsel,I can see a fossil fuel.,Jeg kan se en fossilt brændstof.
greenhouse gas,ˌɡɹiːn.haʊs ˈɡæs,noun,drivhusgas,Termites and cows account for much greenhouse gas.,
teenage,ˈtiːneɪd͡ʒ,adj,teenage,Fred's teenage years were the most difficult of times.,
change management,,noun,forandringsproces,I can see a change management.,Jeg kan se en forandringsproces.
blood red,,adj,blodrød,She is blood red.,Hun er blodrød.
bauxite,ˈbɔːksaɪt,noun,bauxit,"A thin red stream poured down one of the rises, snaking its way around trees; a river turned red with bauxite?",
behind the scenes,bɪˈhaɪnd ðə siːnz,prep_phrase,bag kulisserne,Many videos come with features that show what went on behind the scenes to make the movie and special effects.,
neutrality,njuːˈtɹæləti,noun,neutralitet,"Men who possess a state of neutrality in times of public danger, desert the interest of their fellow subjects.",
"close, but no cigar",ˈkləʊs bʌt nəʊ sɪˈɡɑː,phrase,lige ved og næsten slår ingen mand af hesten;så tæt på og dog så langt fra,"Betty ran all out in the sprint race; yet, it was close, but no cigar.",
chasm,ˈkæzəm,noun,gab;afgrund,But always and ever there is a yawning chasm below[.],
compatible,kəmˈpæt.ə.bəl,adj,kompatibel,This printer isn't compatible with my computer.,
sociolinguistics,ˌsoʊsi.oʊlɪŋˈɡwɪstɪks,noun,sociolingvistik,We need a sociolinguistics.,Vi behøver en sociolingvistik.
scrape,skɹeɪp,verb,skrabe,She scraped the wooden plate with her fingernails.,
scrape,skɹeɪp,noun,hudafskrabning,He fell on the sidewalk and got a scrape on his knee.,
deviate,ˈdiː.vi.eɪt,verb,deviere,"Thus Pegasus, a nearer way to take, / May boldly deviate from the common track.",
salamander,ˈsæləˌmændə,noun,salamander,The chef first put the steak under the salamander to sear the outside.,
philatelic,fɪləˈtɛlɪk,adj,filatelistisk,Jane was a member of the Philatelic Society.,
toothache,ˈtuθˌeɪk,noun,tandpine,I often have toothache.,
predator,ˈpɹɛd.ə.tɚ,noun,rovdyr,"So if you're the only thing worth eating in the middle of the ocean, the predator that grabs you will probably have gotten there by a Levy walk.",
foreleg,ˈfɔrˌlɛɡ,noun,forben,Clover made a sort of wall round them with her great foreleg[…],
cosmology,kɑzˈmɑləd͡ʒi,noun,kosmologi,"Near-synonyms: cosmovision, worldview",
gamete,ˈɡæmiːt,noun,kønscelle,We need a gamete.,Vi behøver en kønscelle.
holiday home,,noun,sommerhus,We need a holiday home.,Vi behøver en sommerhus.
chancellor,ˈtʃɑːnsələ,noun,kansler;rektor,Chancellor of the Duchy of Lancaster,
paramedic,ˌpæɹəˈmɛdɪk,noun,paramediciner,We need a paramedic.,Vi behøver en paramediciner.
sniper,ˈsnaɪ.pɚ,noun,skarpskytte c finskytte;snigskytte,The sniper shot him in the head.,
deathtrap,ˈdɛθtɹæp,noun,dødsfælde,Route 9 is a deathtrap; they should at least put up guard rails.,
machine gun,,noun,maskingevær,"I'm gonna get you, baby / Like a machine gun, I'm gonna… Tak-Tak-Tak-Tak-Tak",
submachine gun,,noun,maskinpistol,We need a submachine gun.,Vi behøver en maskinpistol.
interaction,ˌɪn.təˈɹæk.ʃən,noun,vekselvirkning;interaktion,Be aware of interactions between different medications.,
crusade,kɹuːˈseɪd,noun,korstog,"During the crusades, many Muslims and Christians and Jews were slaughtered.",
dirigible,ˈdɪɹɪd͡ʒəbəl,noun,luftskib,We need a dirigible.,Vi behøver en luftskib.
exclave,ˈɛkskleɪv,noun,eksklave,Alaska and Kaliningrad are both examples of exclaves.,
speakeasy,,noun,smugkro,Many of the legitimate nightclubs of today sprang like legalized phoenixes from the still-hot ashes of the speakeasies of prohibition days.,
foodstuff,ˈfuːdˌstʌf,noun,fødevare;levnedsmiddel;madvare,I can see a foodstuff.,Jeg kan se en fødevare.
conclude,kənˈkluːd,verb,slutte;afslutte;konkludere,The story concluded with a moral.,
hose,həʊz,noun,slange,"His youthful hoſe, vvell ſaved, a vvorld too vvide / For his ſhrunk ſhank, […]",
vis-à-vis,viːz.ɑːˈviː,prep,sammenlignet med;overfor;modsat,Canada's role vis-à-vis the United States' in Afghanistan,
propylene,,noun,propylen,We need a propylene.,Vi behøver en propylen.
misfortune,mɪsˈfɔɹt͡ʃən,noun,ulykke,The worst tour I have ever had the misfortune to experience.,
paratrooper,ˈpæɹətɹuːpə,noun,faldskærmssoldat;faldskærmsjæger,I can see a paratrooper.,Jeg kan se en faldskærmssoldat.
espionage,ˈɛs.pi.əˌnɑːʒ,noun,spionage,I can see a espionage.,Jeg kan se en spionage.
terrorism,ˈtɛɹəɹɪzəm,noun,terrorisme,We need a terrorism.,Vi behøver en terrorisme.
anti-aircraft,,adj,luftværns-,"Special lamps were provided for working during the blackout, and an anti-aircraft gun, manned by the R.A.O.C., was mounted on the coal depot line.",
cold war,ˌkəʊld ˈwɔː,noun,kold krig;koldkrig,It's just an old war / Not even a cold war,
civil war,,noun,borgerkrig,"Our Father’s Death
Would fill up all the Guilt of Civil War,
And cloſe the Scene of Blood.",
specialized,,adj,specialiseret,She is specialized.,Hun er specialiseret.
specialize,ˈspɛʃəˌlaɪz,verb,specialisere,Our Sauiour specialising and nominating the places in which these false prophets should teach his presence to be.,
shopping,ˈʃɑpɪŋ,noun,indkøb;shopping,On Saturdays we usually do the shopping.,
pop the question,,verb,kom med spørgsmålet,70% of men welcome the idea of women's proposing marriage; 48% of women say they'd be willing to pop the question.,
life expectancy,,noun,forventet levealder,We need a life expectancy.,Vi behøver en forventet levealder.
lifeguard,ˈlaɪfˌɡɑɹd,noun,redningssvømmer;livredder,"""The people's love is the king's lifeguard.""",
capacious,kəˈpeɪʃəs,adj,rummelig,"I turnd my thoughts, and with capacious mind / Conſiderd all things viſible in Heav'n",
genial,ˈdʒiːnɪəl,adj,genial,Men of genius have so often attacht the highest value to their less genial works.,
ew,ˈiː.uː,intj,uf;fy;øv,Ew! There’s a fly in my soup.,
in lieu of,ɪn ljuː əv,prep,i stedet for,"They gave him a cash award, in lieu of the promised prize package.",
mercy,ˈmɜːsi,noun,barmhjertighed;nåde,She took mercy on him and quit embarrassing him.,
embarrass,ɪmˈbæɹəs,verb,gøre forlegen;gøre flov;gøre genert;sætte i forlegenhed,The crowd's laughter and jeers embarrassed him.,
scourge,skɜːd͡ʒ,noun,svøbe,He flogged him with a scourge.,
stepping stone,ˈstɛp.ɪŋ stəʊn,noun,springbræt;trædesten,"Falling—her veriest stepping-stone
Shall form the pedestal of a throne— […]",
solar wind,,noun,solvind,We need a solar wind.,Vi behøver en solvind.
celestial body,,noun,himmellegeme,I can see a celestial body.,Jeg kan se en himmellegeme.
fill in,,verb,fortælle,"After you're done laying the pipe, fill in the trench.",
convection,kənˈvɛkʃən,noun,konvektion,We need a convection.,Vi behøver en konvektion.
escape velocity,,noun,undvigelseshastighed,The gravitational force exerted by a planet determines its surface gravity and escape velocity.,
brittle,ˈbɹɪtl̩,adj,skrøbelig;skør,Cast iron is much more brittle than forged iron.,
brittle,ˈbɹɪtl̩,noun,krokant,"As a child, my favorite candy was peanut brittle.",
errand,ˈɛɹənd,noun,ærinde,"What will ye, said King Arthur, and what is your errand?",
chalice,ˈt͡ʃæl.ɪs,noun,kalk,I can see a chalice.,Jeg kan se en kalk.
sallow,ˈsæl.oʊ,noun,selje-pil,"And fast beside a little brooke did pas
Of muddie water, that like puddle stanke,
By which few crooked sallowes grew in ranke:",
reflection,ɹɪˈflɛkʃən,noun,afspejling;refleksion,The dog barked at his own reflection in the mirror.,
privateer,ˌpɹaɪ.vəˈtɪə,noun,kaperskib;kaper;kaperkaptajn,Kidd soon threw off the character of a privateer and became a pirate.,
diffuse,dɪˈfjuːz,adj,diffus;uklar,Such a diffuse effort is unlikely to produce good results.,
disobedience,dɪs.əˈbiː.dɪəns,noun,ulydighed,The teacher complained of the child's disobedience.,
submission,səbˈmɪʃən,noun,underkastelse;overgivelse,Any submissions received after Friday will have marks deducted for lateness.,
capitulate,kəˈpɪ.tjʊ.leɪt,verb,kapitulere;overgive sig,He argued and hollered for so long that I finally capitulated just to make him stop.,
homeopathy,ˌhəʊmɪˈɒpəθi,noun,homøopati,We need a homeopathy.,Vi behøver en homøopati.
collector,kəˈlɛktɚ,noun,samler,She is an avid collector of nineteenth-century postage stamps.,
fissure,ˈfɪʃ.ə,noun,revne;sprække,She has a fissure.,Hun har en revne.
subterranean,ˌsʌbtəˈɹeɪniən,adj,underjordisk,And you were in the parking lot / Subterranean by your own design,
postmodern,,adj,postmoderne,What I am objecting to is that aspect of postmodern thought that rejects the idea of any objective reality.,
all right,ˌɔːlˈɹaɪt,adj,i orden,"The car is all right. It gets me there, anyway.",
convoy,ˈkɒn.vɔɪ,noun,konvoj,We need a convoy.,Vi behøver en konvoj.
attentive,əˈtɛntɪv,adj,opmærksom,"She is an attentive listener, but does not like to talk much.",
ff.,,phrase,ff.,,
idyllic,ɪˈdɪlɪk,adj,idyllisk,"My fellow-creatures, from whom I was thus separated, began to assume idyllic virtue and beauty in my memory.",
limitation,lɪmɪˈteɪʃən,noun,begrænsning,"Getting into his wheelchair after his amputation, it felt like a limitation you could roll in.",
honeydew,ˈhʌnɪdjuː,noun,honningdug,"[F]reſh teares / Stood on her cheeks, as doth the honie devv, / Vpon a gathred Lillie almoſt vvithered.",
incarnadine,ɪnˈkɑːnədiːn,adj,ansigtfarved,"Incarnadine, or Incarnate, that is of a bright Carnation or Fleſh Colour, or of the Colour of a Damask-Roſe.",
postmodernism,pəʊstˈmɑdɚnɪzəm,noun,postmodernisme,We need a postmodernism.,Vi behøver en postmodernisme.
then again,,adv,ved nærmere eftertanke;og dog,"I think I'll take three pairs of shoes. Then again, I only plan to stay two days.",
companion,kəmˈpænjən,noun,ledsager,His dog has been his trusted companion for the last five years.,
heraldic,,adj,heraldisk,a heraldic device,
benevolence,bəˈnɛvələns,noun,velvilje,gesture of benevolence,
loyalty,ˈlɔɪəlti,noun,loyalitet,brand loyalty,
ethical,ˈɛθɪkəl,adj,etisk;moralsk rigtig,The philosopher Kant is particularly known for his ethical writings.,
methylated spirit,,noun,husholdningssprit,We need a methylated spirit.,Vi behøver en husholdningssprit.
spastic,ˈspastɪk,adj,krampagtig;spastisk,It is very spastic.,Det er meget krampagtig.
spastic,ˈspastɪk,noun,spastiker,"‘Oi, Fleming, you spastic. Guess who I knobbed last night?’",
urethra,jʊˈɹiːθɹə,noun,urinrør;urinveje,I can see a urethra.,Jeg kan se en urinrør.
malachite,ˈmæl.əˌkaɪt,noun,malakit,I can see a malachite.,Jeg kan se en malakit.
now and then,ˌnaʊ ən(d)ˈðɛn,adv,nu og da,Call your mother now and then and let her know you care.,
reinforcement,ˌɹiːɪnˈfɔːsmənt,noun,forstærkning;støtte,There's a website that can be a good learning reinforcement.,
lignite,ˈlɪɡnaɪ̯t,noun,brunkul,I can see a lignite.,Jeg kan se en brunkul.
configure,kənˈfɪɡə(ɹ),verb,konfigurere,Users may configure the settings to enhance their experience.,
pedophilic,,adj,pædofil,It is very pedophilic.,Det er meget pædofil.
street urchin,,noun,gadebarn,She ran to the door and there beheld the ragged street urchin calmly playing his organ.,
dignify,ˈdɪɡnɪfaɪ,verb,værdige,Your worth will dignify our feast.,
divorced,dɪˈvɔː(ɹ)st,adj,adskilt;opløst;skilt,divorced from reality,
it takes two to tango,,proverb,der skal to til tango,"I can't do it by myself, and neither can you – it takes two to tango.",
exorcism,ˈɛk.sɔː.sɪ.zəm,noun,eksorcisme,We need a exorcism.,Vi behøver en eksorcisme.
